Log name,Algorithm,#Relations,#Activities,Size,Density,NonSeparability,Constraint Variability,Runtime
BPIC12,Flat,132.0,24.0,156.0,5.5,0.9935897435897437,0.5949390911843346,1.829219102859497
BPIC12,Choice,108.0,26.0,134.0,4.153846153846154,0.9925373134328358,0.6577245988102587,1.8122587203979488
BPIC12,Group,59.0,32.0,91.0,1.9642857142857144,0.9450549450549451,0.7818622422409109,2.715007781982422
BPIC12,Choice+Group,65.0,36.0,101.0,1.90625,0.9603960396039604,0.768854662555293,1.6316399574279783
BPIC13_cp,Flat,4.0,4.0,8.0,1.0,0.875,0.8112781244591328,0.0422430038452148
BPIC13_cp,Choice,4.0,4.0,8.0,1.0,0.875,0.8112781244591328,0.0432612895965576
BPIC13_cp,Group,3.0,5.0,8.0,0.5,0.625,0.0,0.0677351951599121
BPIC13_cp,Choice+Group,3.0,5.0,8.0,0.5,0.625,0.0,0.0888452529907226
BPIC13_i,Flat,6.0,4.0,10.0,1.5,0.9000000000000001,1.0,0.3643856048583984
BPIC13_i,Choice,6.0,4.0,10.0,1.5,0.9000000000000001,1.0,0.4600086212158203
BPIC13_i,Group,3.0,6.0,9.0,1.0,0.5555555555555556,1.0,0.7830767631530762
BPIC13_i,Choice+Group,3.0,6.0,9.0,1.0,0.5555555555555556,1.0,0.3637540340423584
BPIC14_f,Flat,27.0,9.0,36.0,3.0,0.9722222222222223,0.9990102708804812,2.1268415451049805
BPIC14_f,Choice,27.0,9.0,36.0,3.0,0.9722222222222223,0.9990102708804812,2.10512638092041
BPIC14_f,Group,8.0,11.0,19.0,1.6,0.631578947368421,1.0,3.228769063949585
BPIC14_f,Choice+Group,8.0,11.0,19.0,1.6,0.631578947368421,1.0,2.332170963287353
BPIC15_1f,Flat,475.0,70.0,545.0,6.785714285714286,0.998165137614679,0.8228955330595922,0.2692210674285888
BPIC15_1f,Choice,437.0,81.0,518.0,5.876712328767123,0.9826254826254827,0.8552089198707196,0.3498792648315429
BPIC15_1f,Group,237.0,112.0,349.0,2.237623762376238,0.9742120343839543,1.0,0.4109740257263183
BPIC15_1f,Choice+Group,309.0,107.0,416.0,3.1956521739130435,0.9639423076923078,1.0,0.3884649276733398
BPIC15_2f,Flat,902.0,82.0,984.0,11.0,0.9989837398373985,0.6398139551210602,0.3422682285308838
BPIC15_2f,Choice,875.0,90.0,965.0,10.235294117647058,0.9937823834196892,0.6475628644687345,0.3635144233703613
